cam_x, cam_y, cam_theta, odom_x, odom_y, odom_theta, cmd_vx, cmd_vy, cmd_wz, odom_vx, odom_vy, odom_wz
1.08701, 2.83371, 1.10495, -0.670985, 0.825296, -0.465849, 0, 0, 0.5, -0.000970644, -0.0036398, 0.540024
1.08685, 2.83322, 1.12813, -0.671078, 0.82531, -0.442662, 0, 0, 0.5, 0.000604201, -0.00184227, 0.47849
1.08669, 2.83276, 1.12813, -0.671078, 0.82531, -0.442662, 0, 0, 0.5, 0.000604201, -0.00184227, 0.47849
1.08621, 2.83142, 1.12813, -0.671078, 0.82531, -0.442662, 0, 0, 0.5, 0.000604201, -0.00184227, 0.47849
1.08574, 2.83015, 1.12813, -0.671078, 0.82531, -0.442662, 0, 0, 0.5, 0.000604201, -0.00184227, 0.47849
1.0853, 2.82894, 1.12813, -0.671078, 0.82531, -0.442662, 0, 0, 0.5, 0.000604201, -0.00184227, 0.47849
1.08489, 2.82779, 1.15095, -0.671243, 0.825212, -0.419851, 0, 0, 0.5, 0.00327627, -0.00221107, 0.470132
1.08449, 2.82669, 1.15095, -0.671243, 0.825212, -0.419851, 0, 0, 0.5, 0.00327627, -0.00221107, 0.470132
1.08411, 2.82565, 1.17276, -0.671327, 0.825301, -0.398034, 0, 0, 0.5, -0.000967583, -0.00235363, 0.454751
1.08442, 2.82653, 1.17276, -0.671327, 0.825301, -0.398034, 0, 0, 0.5, -0.000967583, -0.00235363, 0.454751
1.08472, 2.82736, 1.17276, -0.671327, 0.825301, -0.398034, 0, 0, 0.5, -0.000967583, -0.00235363, 0.454751
1.08501, 2.82816, 1.17276, -0.671327, 0.825301, -0.398034, 0, 0, 0.5, -0.000967583, -0.00235363, 0.454751
1.08528, 2.82891, 1.17276, -0.671327, 0.825301, -0.398034, 0, 0, 0.5, -0.000967583, -0.00235363, 0.454751
1.08555, 2.82963, 1.19536, -0.671304, 0.825445, -0.375438, 0, 0, 0.5, -0.00302686, -0.00072755, 0.479774
1.0858, 2.83031, 1.19536, -0.671304, 0.825445, -0.375438, 0, 0, 0.5, -0.00302686, -0.00072755, 0.479774
1.08604, 2.83096, 1.227, -0.671454, 0.825533, -0.343798, 0, 0, 0.5, -0.000399159, -0.00265657, 0.488155
1.08625, 2.83173, 1.227, -0.671454, 0.825533, -0.343798, 0, 0, 0.5, -0.000399159, -0.00265657, 0.488155
1.08646, 2.83247, 1.227, -0.671454, 0.825533, -0.343798, 0, 0, 0.5, -0.000399159, -0.00265657, 0.488155
1.08666, 2.83316, 1.227, -0.671454, 0.825533, -0.343798, 0, 0, 0.5, -0.000399159, -0.00265657, 0.488155
1.08685, 2.83383, 1.227, -0.671454, 0.825533, -0.343798, 0, 0, 0.21931, -0.000399159, -0.00265657, 0.488155
1.08704, 2.83445, 1.2509, -0.671682, 0.825651, -0.3199, 0, 0, 0.143737, -0.000721632, -0.00531083, 0.498616
1.08722, 2.83505, 1.26695, -0.671805, 0.825605, -0.303843, 0, 0, -0, 0.00257645, -0.00321756, 0.504952
1.0874, 2.83562, 1.26695, -0.671805, 0.825605, -0.303843, 0, 0, -0, 0.00257645, -0.00321756, 0.504952
